[0507/090956.802:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0507/144716.775:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0507/144721.786:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0507/144723.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0507/145216.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0507/145305.887:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0624/144453.975:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144458.988:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144504.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144509.017:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144514.031:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144519.046:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144524.060:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144529.075:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144534.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144539.104:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144544.118:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144549.132:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144554.147:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/144559.161:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150130.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150135.570:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150140.584:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150145.599:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150150.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150155.627:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150200.642:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150205.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150210.671:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150215.685:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150220.700:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150225.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150230.728:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/150235.743:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151645.072:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151650.086:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151655.101:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151700.115:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151705.129:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151710.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/151715.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/165612.632:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
